xup,zup,xlow,zlow
    0,      0,      0,      0
0.596,  0.139,  0.596, -0.139
1.183,  0.278,  1.183, -0.278
1.789,  0.417,  1.789, -0.417
2.385,  0.555,  2.385, -0.555
2.583,  0.555,  2.583, -0.555
2.780,  0.555,  2.780, -0.555
2.978,  0.555,  2.978, -0.555
3.175,  0.555,  3.175, -0.555
3.373,  0.555,  3.373, -0.555
3.570,  0.555,  3.570, -0.555
3.768,  0.555,  3.768, -0.555
3.965,  0.555,  3.965, -0.555
4.561,  0.417,  4.561, -0.417
5.167,  0.278,  5.167, -0.278
5.754, 0.139,   5.754, -0.139
6.35,      0,   6.35,      0
